id,officer_id,salary,overtime_pay,year,is_fiscal_year
,32555,64091.79,939.46,2018,true
,32556,75606.16,,2018,true
,32557,75606.16,20400.09,2018,true
,32559,62835.09,157.32,2018,true
,32560,77118.28,29939.49,2018,true
,32561,53416.67,651.89,2018,true
,32563,55553.34,,2018,true
,32564,77118.28,13847.58,2018,true
,32565,78630.41,4826.29,2018,true
,32567,75606.16,3076.01,2018,true
,32568,89496.91,19058.02,2018,true
,32569,77118.28,,2018,true
,32570,78630.41,20422.53,2018,true
,32571,78630.41,22149.08,2018,true
,32572,78630.41,969.7,2018,true
,32573,73482.26,2175.84,2018,true
,32574,77118.28,1939.6,2018,true
,32575,78630.41,6131.45,2018,true
,32576,75606.16,2528.77,2018,true
,32577,101810.36,6818.85,2018,true
,32578,78630.41,,2018,true
,32580,138885.24,,2018,true
,32581,65348.49,,2018,true
,32582,77118.28,4144.23,2018,true
,32583,75606.16,,2018,true
,32584,78630.41,,2018,true
,32585,75606.16,,2018,true
,32586,65348.49,195.36,2018,true
,32587,86054.72,32481.06,2018,true
,32588,75606.16,16500.65,2018,true
,32589,78630.41,17003.3,2018,true
,32590,65348.49,177.29,2018,true
,32591,89496.91,6053.53,2018,true
,32593,65348.49,406.02,2018,true
,32595,78630.41,12189.84,2018,true
,32596,78630.41,11665.71,2018,true
,32597,106263.57,9220.91,2018,true
,32598,89496.91,4334.36,2018,true
,32599,75606.16,4825.85,2018,true
,32601,89496.91,32240.17,2018,true
,32602,75606.16,4902.19,2018,true
,32603,77118.28,20543.8,2018,true
,32605,77118.28,10706.54,2018,true
,32606,78630.41,558.31,2018,true
,32608,75606.16,383.1,2018,true
,32609,86570.32,24699.41,2018,true
,32610,75606.16,,2018,true
,32613,75606.16,12672.18,2018,true
,32616,78630.41,734.62,2018,true
,32617,89496.91,56058.41,2018,true
,32619,78630.41,11386.63,2018,true
,32622,54485.0,676.98,2018,true
,32626,75606.16,10581.34,2018,true
,32627,78630.41,8447.95,2018,true
,32629,65348.49,388.65,2018,true
,32630,90033.13,10626.76,2018,true
,32631,75606.16,,2018,true
,32634,86054.72,42299.78,2018,true
,32635,75606.16,15500.75,2018,true
,32636,90033.13,9252.49,2018,true
,32637,78630.41,4451.77,2018,true
,32639,78630.41,808.08,2018,true
,32641,53416.67,449.1,2018,true
,32642,55553.34,,2018,true
,32643,87775.81,3737.95,2018,true
,32644,72041.43,3207.39,2018,true
,32645,78630.41,29884.36,2018,true
,32646,89496.91,24398.71,2018,true
,32647,75606.16,,2018,true
,32648,78630.41,117.54,2018,true
,32650,65348.49,,2018,true
,32653,87775.81,,2018,true
,32654,64091.79,7680.57,2018,true
,32655,78630.41,5858.18,2018,true
,32656,86570.32,10772.55,2018,true
,32659,75606.16,550.97,2018,true
,32660,101810.36,13848.53,2018,true
,32661,89496.91,4849.53,2018,true
,32662,86570.32,1585.15,2018,true
,32664,78630.41,4249.05,2018,true
,32665,92327.77,,2018,true
,32666,140103.08,,2018,true
,32667,65348.49,1868.51,2018,true
,32669,55553.34,,2018,true
,32670,88301.73,,2018,true
,32671,77118.28,,2018,true
,32672,75606.16,14211.76,2018,true
,32674,75606.16,791.13,2018,true
,32675,75606.16,,2018,true
,32676,75606.16,1412.75,2018,true
,32677,72041.43,450.48,2018,true
,32678,81647.28,3760.59,2018,true
,32682,75606.16,113.02,2018,true
,32683,86054.72,5692.24,2018,true
,32684,75606.16,17422.94,2018,true
,32685,75606.16,,2018,true
,32686,90033.13,13583.88,2018,true
,32687,89496.91,39624.06,2018,true
,32689,75606.16,,2018,true
,32692,86570.32,,2018,true
,32693,78630.41,2997.26,2018,true
,32695,88301.73,7951.8,2018,true
,32696,75606.16,1822.24,2018,true
,32697,75606.16,12389.61,2018,true
,32698,86054.72,,2018,true
,32699,78630.41,4540.67,2018,true
,32700,86570.32,8152.3,2018,true
,32702,62835.09,,2018,true
,32703,84913.17,7061.68,2018,true
,32705,75606.16,7126.92,2018,true
,32706,75606.16,1877.89,2018,true
,32708,75606.16,3969.75,2018,true
,32709,75606.16,4456.06,2018,true
,32710,75606.16,6407.43,2018,true
,32711,86570.32,10481.4,2018,true
,32713,84913.17,2063.94,2018,true
,32714,81131.41,8657.61,2018,true
,32716,138885.24,9115.19,2018,true
,32717,55553.34,,2018,true
,32718,86570.32,12907.67,2018,true
,32719,88301.73,4047.72,2018,true
,32720,84913.17,19239.58,2018,true
,32721,78630.41,4755.55,2018,true
,32722,78630.41,3246.74,2018,true
,32723,90033.13,2691.59,2018,true
,32724,78630.41,7714.47,2018,true
,32725,88301.73,20382.73,2018,true
,32726,78630.41,675.85,2018,true
,32727,78630.41,11254.31,2018,true
,32730,77118.28,8804.51,2018,true
,32731,86054.72,42057.8,2018,true
,32733,78630.41,7331.45,2018,true
,32734,90033.13,24880.58,2018,true
,32735,75606.16,1798.64,2018,true
,32736,75606.16,127.15,2018,true
,32738,75606.16,1412.75,2018,true
,32739,75606.16,6329.11,2018,true
,32740,90033.13,5265.41,2018,true
