id,officer id,officer unique identifier,badge number,job title,start date,end date,unit id
457,12398,,20551,PO AS DETECTIVE,,,
458,12399,,6611,POLICE OFFICER,,,
459,12400,,13187,POLICE OFFICER,,,
460,12401,,2178,SERGEANT OF POLICE,,,
461,12402,,8533,POLICE OFFICER,,,
462,12403,,10418,POLICE OFFICER,,,
463,12404,,11147,POLICE OFFICER,,,
464,12405,,91,CAPTAIN OF POLICE,,,
465,12406,,879,SERGEANT OF POLICE,,,
466,12407,,16584,POLICE OFFICER,,,
467,12408,,17907,POLICE OFFICER,,,
468,12409,,4268,POLICE OFFICER,,,
469,12410,,16788,POLICE OFFICER,,,
470,12411,,18958,POLICE OFFICER,,,
471,12412,,4056,POLICE OFFICER,,,
472,12413,,6683,POLICE OFFICER,,,
473,12414,,1618,SERGEANT OF POLICE,,,
474,12415,,13137,POLICE OFFICER,,,
475,12416,,495,LIEUTENANT OF POLICE,,,
476,12417,,4495,POLICE OFFICER,,,
477,12418,,,POLICE OFFICER,,,
478,12419,,14666,POLICE OFFICER,,,
479,12420,,8176,POLICE OFFICER,,,
480,12421,,6437,POLICE OFFICER,,,
481,12422,,2078,SERGEANT OF POLICE,,,
482,12423,,19050,POLICE OFFICER,,,
483,12424,,13052,POLICE OFFICER,,,
484,12425,,19740,POLICE OFFICER,,,
485,12426,,15787,POLICE OFFICER,,,
486,12427,,14366,POLICE OFFICER,,,
487,12428,,12689,POLICE OFFICER,,,
488,12429,,15313,POLICE OFFICER,,,
489,12430,,9112,POLICE OFFICER,,,
490,12431,,5527,POLICE OFFICER,,,
491,12432,,15785,POLICE OFFICER,,,
492,12433,,15734,POLICE OFFICER,,,
493,12434,,4125,POLICE OFFICER,,,
494,12435,,8398,POLICE OFFICER,,,
495,12436,,11133,PO ASGN EVID. TECHNI,,,
496,12437,,12697,POLICE OFFICER,,,
497,12438,,20638,PO AS DETECTIVE,,,
498,12439,,8111,POLICE OFFICER,,,
499,12440,,7510,POLICE OFFICER,,,
500,12441,,3062,POLICE OFFICER,,,
501,12442,,6291,POLICE OFFICER,,,
502,12443,,12444,POLICE OFFICER,,,
503,12444,,1874,SERGEANT OF POLICE,,,
504,12445,,11370,POLICE OFFICER,,,
505,12446,,17137,POLICE OFFICER,,,
506,12447,,11650,POLICE OFFICER,,,
507,12448,,15992,POLICE OFFICER,,,
