id,officer_id,badge_number,job_title,start_date,resign_date
,20144,1106,SERGEANT,2019-06-21,
2869,14806,5052,POLICE OFFICER,2003-09-12,
2308,14245,17296,POLICE OFFICER,2000-11-14,
4577,16514,14777,POLICE OFFICER,1999-12-21,2001-10-03
,16514,14777,POLICE OFFICER,2002-09-30,
6321,18258,5344,POLICE OFFICER,2002-10-25,
,14781,3588,POLICE OFFICER,1989-12-26,2001-05-31
2844,14781,2309,SERGEANT,2001-05-31,2016-05-13
1553,13492,11419,POLICE OFFICER,2006-10-24,2011-08-29
,13492,11419,POLICE OFFICER,2011-10-14,
3222,15159,13279,POLICE OFFICER,2000-03-23,
6666,18603,13172,POLICE OFFICER,2007-11-14,
,19456,1980,SERGEANT,1998-08-06,2003-12-01
,19456,721,LIEUTENANT,2003-12-01,2004-03-02
,19456,742,LIEUTENANT,2004-03-02,2007-08-28
,19456,66,CAPTAIN,2007-08-28,
,19456,66,DEPUTY CHIEF,,
7519,19456,66,COMMANDER,,
9100,21037,7060,POLICE OFFICER,2000-04-18,
9635,21572,12889,POLICE OFFICER,1994-12-23,2019-08-16
11615,23547,8992,POLICE OFFICER,1989-02-14,2018-04-16
,13309,17842,POLICE OFFICER,2005-03-11,2006-05-22
1370,13309,10358,POLICE OFFICER,2006-05-22,2017-12-15
,13309,1225,SERGEANT,2017-12-15,
,13309,1225,POLICE OFFICER,,
1604,13543,9609,POLICE OFFICER,2011-02-24,
1718,13657,19378,POLICE OFFICER,1999-11-12,
2560,14518,17712,POLICE OFFICER,2014-05-22,2019-02-25
,14518,17712,POLICE OFFICER,2019-04-03,2019-05-10
,14518,17712,POLICE OFFICER,2019-11-06,
2756,14693,19083,POLICE OFFICER,1997-05-12,
6056,17993,14640,POLICE OFFICER,2015-07-10,
,#U100583,10404,POLICE OFFICER,2016-10-19,
6984,18921,9637,POLICE OFFICER,2002-09-19,
7955,19902,17347,POLICE OFFICER,2015-07-31,
8040,19977,8665,POLICE OFFICER,2008-01-30,
8825,20762,15893,POLICE OFFICER,2003-07-10,
9011,20948,12769,POLICE OFFICER,2012-12-10,
,20948,12769,FIELD TRAINING OFFICER,,
,21084,11919,POLICE OFFICER,2013-05-16,2013-10-01
9147,21084,17867,POLICE OFFICER,2013-10-01,
9943,21880,12458,POLICE OFFICER,2002-07-23,
,23120,14577,POLICE OFFICER,1998-01-20,2003-07-01
11187,23120,21021,DETECTIVE,2003-07-01,2013-09-11
,23120,21021,DETECTIVE,2015-07-31,
1210,13149,11249,POLICE OFFICER,2010-06-14,2017-09-29
,13501,9456,POLICE OFFICER,1994-03-04,2004-11-01
1562,13501,20782,DETECTIVE,2004-11-01,2019-06-17
,18307,40183,POLICE OFFICER,1998-12-08,2005-06-07
6370,18307,20582,DETECTIVE,2005-06-07,2016-11-21
11797,23730,13419,POLICE OFFICER,2006-03-13,
,21468,17276,POLICE OFFICER,1992-03-06,2006-12-28
9530,21468,21248,DETECTIVE,2006-12-28,2019-11-19
909,12848,11386,POLICE OFFICER,,
,#U100608,9230,POLICE OFFICER,2016-12-28,
10620,22555,17840,POLICE OFFICER,2013-12-18,
,15778,11701,POLICE OFFICER,1990-11-16,2004-11-01
3840,15778,20686,DETECTIVE,2004-11-01,2018-09-14
1248,13187,15901,POLICE OFFICER,,
,13724,19497,POLICE OFFICER,1996-08-21,2003-12-01
1785,13724,1345,SERGEANT,2003-12-01,2018-10-17
,13724,390,LIEUTENANT,2018-10-17,
,#U100614,16827,POLICE OFFICER,2017-04-26,2017-04-28
,#U100614,7303,POLICE OFFICER,2017-04-28,
,#U100615,13359,POLICE OFFICER,2016-08-31,
9837,21774,18954,POLICE OFFICER,2013-10-09,
,12366,17199,POLICE OFFICER,2002-04-30,2004-04-18
,12366,17199,POLICE OFFICER,2004-05-06,2015-11-13
,12366,2926,POLICE OFFICER,2004-04-18,2004-05-06
425,12366,20842,DETECTIVE,2015-11-13,2018-10-18
,12366,2110,SERGEANT,2018-10-18,
,#U100624,17786,POLICE OFFICER,2017-06-06,
6005,17942,7782,POLICE OFFICER,2007-03-13,2017-12-29
,17942,19223,POLICE OFFICER,2017-12-29,
,15212,18494,POLICE OFFICER,1998-04-13,2012-08-31
3275,15212,1214,SERGEANT,2012-08-31,
,16176,11454,POLICE OFFICER,1999-01-15,2000-11-25
4239,16176,18766,POLICE OFFICER,2000-11-25,
,16346,40196,POLICE OFFICER,1998-12-04,2005-06-16
4409,16346,20456,DETECTIVE,2005-06-16,2017-05-15
5063,17000,15974,POLICE OFFICER,2015-03-13,
,17865,7371,POLICE OFFICER,1990-03-26,2003-07-01
,17865,20945,DETECTIVE,2003-07-01,2012-08-31
5928,17865,1638,SERGEANT,2012-08-31,2016-12-01
,17865,340,LIEUTENANT,2016-12-01,
7436,19373,6468,POLICE OFFICER,1988-11-07,
7541,19478,20443,DETECTIVE,1997-10-20,2016-07-15
8405,20342,15064,POLICE OFFICER,1996-02-23,
10461,22396,8897,POLICE OFFICER,2004-03-12,
,#U100673,15641,POLICE OFFICER,2017-06-06,
4244,16181,9463,POLICE OFFICER,1992-10-16,2017-05-15
5735,17672,12594,POLICE OFFICER,2002-07-23,2018-10-18
,17672,2594,SERGEANT,2018-10-18,
,21635,2174,SERGEANT,1996-03-26,2001-10-15
,21635,257,LIEUTENANT,2002-03-28,2002-03-28
,21635,257,LIEUTENANT,2002-05-29,2002-07-16
9698,21635,239,LIEUTENANT,2002-07-16,2019-05-31
10490,22425,6823,POLICE OFFICER,2015-03-13,
,#U100678,19506,POLICE OFFICER,2016-10-19,
,12859,2783,POLICE OFFICER,2003-11-18,2003-12-16
920,12859,18598,POLICE OFFICER,2003-12-16,2012-07-30
,17040,9772,POLICE OFFICER,1995-06-12,2001-05-31
,17040,2347,SERGEANT,2001-05-31,2014-05-19
